Job_Title,Department,Employer,city,Date_Placed,Closing_Date,Job_Url
Lecturer in Science,,The Bedford College Group,"Corby, Kettering",07-Jun,20-Jun,https://www.jobs.ac.uk/job/DAK036/lecturer-in-science
PhD Studentship: Feedback conversations that improve prescribing practices: a sociomaterial study in the UK and Australia,Health and Community Sciences,University of Exeter,Exeter,07-Jun,15-Jul,https://www.jobs.ac.uk/job/DAJ984/phd-studentship-feedback-conversations-that-improve-prescribing-practices-a-sociomaterial-study-in-the-uk-and-australia
Portfolio Manager – Research and Innovation Funding Delivery,,BBSRC - Biotechnology and Biological Sciences Research Council,"Swindon, Wiltshire",07-Jun,25-Jun,https://www.jobs.ac.uk/job/DAJ974/portfolio-manager-research-and-innovation-funding-delivery
Senior Research Officer,Life Sciences,University of Essex,Colchester,07-Jun,03-Jul,https://www.jobs.ac.uk/job/DAJ964/senior-research-officer
Portfolio Manager,,BBSRC - Biotechnology and Biological Sciences Research Council,"Swindon, Wiltshire",07-Jun,27-Jun,https://www.jobs.ac.uk/job/DAJ949/portfolio-manager
Technical Manager,"Biosciences, Plant & Crop Sciences",University of Nottingham,Sutton Bonington,07-Jun,05-Jul,https://www.jobs.ac.uk/job/DAJ944/technical-manager
GCP Auditor,Clinical Operations,Protas,"Oxford, Work from home",07-Jun,07-Aug,https://www.jobs.ac.uk/job/DAJ930/gcp-auditor
Research Assistant,School of Biosciences,University of Sheffield,Sheffield,07-Jun,05-Jul,https://www.jobs.ac.uk/job/DAJ908/research-assistant
Research Assistant in Plant-Based Food Development,School of Food Science & Nutrition,University of Leeds,Leeds,07-Jun,05-Jul,https://www.jobs.ac.uk/job/DAJ857/research-assistant-in-plant-based-food-development
Lecturer (Education),Biological Sciences,Queen's University Belfast,Belfast,07-Jun,21-Jun,https://www.jobs.ac.uk/job/DAJ820/lecturer-education
Postdoctoral Research Fellow,Faculty of Science & Engineering,Anglia Ruskin University,Cambridge,07-Jun,20-Jun,https://www.jobs.ac.uk/job/DAJ674/postdoctoral-research-fellow
Scientific Data Manager,"Ludwig Institute, Old Road Campus Research Building",University of Oxford,Oxford,07-Jun,05-Jul,https://www.jobs.ac.uk/job/DAJ659/scientific-data-manager
Research Technician in Cell & Developmental Biology,School of Biosciences,University of Sheffield,Sheffield,07-Jun,20-Jun,https://www.jobs.ac.uk/job/DAJ627/research-technician-in-cell-and-developmental-biology
Technical Specialist (Research),Cardiovascular Surgery and Vascular Biology,University of Bristol,Bristol,07-Jun,21-Jun,https://www.jobs.ac.uk/job/DAJ619/technical-specialist-research
"Visiting Lecturers in Life Sciences in Zoology, Biological Anthropology, Evolution",School of Life and Health Sciences,University of Roehampton,London,07-Jun,28-Jul,https://www.jobs.ac.uk/job/DAJ539/visiting-lecturers-in-life-sciences-in-zoology-biological-anthropology-evolution
Associate Professor/ Professor in Biotherapeutics,,Dublin City University,Dublin,07-Jun,20-Jun,https://www.jobs.ac.uk/job/DAJ527/associate-professor-professor-in-biotherapeutics
Research Fellow in Cancer Immunotherapy,Health and Medical,UCL,London,07-Jun,23-Jun,https://www.jobs.ac.uk/job/DAJ516/research-fellow-in-cancer-immunotherapy
Post-Doctoral Research Associate in Data Science and Statistical Genetics,School of Chemistry,University of Lincoln,Lincoln,07-Jun,02-Jul,https://www.jobs.ac.uk/job/DAJ514/post-doctoral-research-associate-in-data-science-and-statistical-genetics
Post-doctoral Scientist in Cancer Immunology (Fixed Term),Department of Pathology,University of Cambridge,Cambridge,07-Jun,04-Jul,https://www.jobs.ac.uk/job/DAJ494/post-doctoral-scientist-in-cancer-immunology-fixed-term
Senior/Laboratory Research Scientist - Protein Biochemist,"Visual Biochemistry lab, AZ-Crick-Imperial College: Molecular Glue Discovery Partnership",The Francis Crick Institute,London,07-Jun,21-Jun,https://www.jobs.ac.uk/job/DAJ480/senior-laboratory-research-scientist-protein-biochemist
Research Assistant/Associate,,Newcastle University,Newcastle upon Tyne,07-Jun,22-Jun,https://www.jobs.ac.uk/job/DAJ462/research-assistant-associate
Faculty Position in Biological Sciences Immunology,Biological Sciences,Xi'an Jiaotong - Liverpool University,Suzhou,07-Jun,30-Jun,https://www.jobs.ac.uk/job/DAJ270/faculty-position-in-biological-sciences-immunology
Peatland Palaeoclimate Researcher,,UHI North Highland,Thurso,07-Jun,30-Jun,https://www.jobs.ac.uk/job/DAJ198/peatland-palaeoclimate-researcher
Peatland Scientist (Research Associate),,UHI North Highland,Thurso,07-Jun,30-Jun,https://www.jobs.ac.uk/job/DAJ163/peatland-scientist-research-associate
Research Fellow,"Institute of Applied Health Research, College of Medical and Dental Sciences",University of Birmingham,Birmingham,07-Jun,27-Jun,https://www.jobs.ac.uk/job/DAI067/research-fellow
Technical Advisor – Access (French Speaking),,Unlimit Health,London,07-Jun,30-Jun,https://www.jobs.ac.uk/job/DAI305/technical-advisor-access-french-speaking
Senior Technical Advisor: Biostatistics,,Unlimit Health,London,07-Jun,30-Jun,https://www.jobs.ac.uk/job/DAI300/senior-technical-advisor-biostatistics
Postdoctoral Research Associate in Molecular Virology - Grade 7,"Faculty of Health and Life Sciences - Institute of Infection, Veterinary and Ecological Science - Department of Infection Biology and Microbiomes",University of Liverpool,Liverpool,06-Jun,27-Jun,https://www.jobs.ac.uk/job/DAJ219/postdoctoral-research-associate-in-molecular-virology-grade-7
Postdoctoral Research Assistant - UOD580,Biological Sciences,University of Dundee,Dundee,06-Jun,04-Jul,https://www.jobs.ac.uk/job/DAJ197/postdoctoral-research-assistant-uod580
"Senior Research Associate; ""Abstract Rigidity for Natural Stability Problems""",Mathematics and Statistics,Lancaster University,Lancaster,06-Jun,10-Jul,https://www.jobs.ac.uk/job/DAJ165/senior-research-associate-abstract-rigidity-for-natural-stability-problems
"Epidemiologist - Epidemiology Research Fellow, Prof M Garcia - Closas ( ID 629)",Genetics and Epidemiology,The Institute of Cancer Research,London,06-Jun,25-Jun,https://www.jobs.ac.uk/job/DAJ150/epidemiologist-epidemiology-research-fellow-prof-m-garcia-closas-id-629
Higher Scientific Officer - Proteomics (ID 631),Molecular Pathology,The Institute of Cancer Research,London,06-Jun,30-Jun,https://www.jobs.ac.uk/job/DAJ128/higher-scientific-officer-proteomics-id-631
Tutor in Molecular Ecology,"School of Biosciences, Geography and Physics - Faculty of Science and Engineering",Swansea University,Swansea,06-Jun,25-Jun,https://www.jobs.ac.uk/job/DAJ118/tutor-in-molecular-ecology
Postdoctoral Training Fellow in Synthetic and Medicinal Chemistry (ID 633),Cancer Therapeutics,The Institute of Cancer Research,London,06-Jun,11-Jul,https://www.jobs.ac.uk/job/DAJ116/postdoctoral-training-fellow-in-synthetic-and-medicinal-chemistry-id-633
PhD Studentship: Building a Toxicological Screen to Predict Drug-Induced Pulmonary Hypertension,Bio,University of East Anglia,Norwich,06-Jun,05-Jul,https://www.jobs.ac.uk/job/DAJ108/phd-studentship-building-a-toxicological-screen-to-predict-drug-induced-pulmonary-hypertension
Research Associate in Biochemical Technologies,Department of Chemical Engineering,Imperial College London,London,06-Jun,09-Jul,https://www.jobs.ac.uk/job/DAJ103/research-associate-in-biochemical-technologies
Director of Centre for In Vivo Modelling - Group Leader in Mouse Genetics/ Disease Modelling (ID 634),Molecular Pathology,The Institute of Cancer Research,London,06-Jun,02-Jul,https://www.jobs.ac.uk/job/DAJ096/director-of-centre-for-in-vivo-modelling-group-leader-in-mouse-genetics-disease-modelling-id-634
Economist - Blue-Green Finance for nature based solutions,School of Biological and Marine Sciences,University of Plymouth,Plymouth,06-Jun,17-Jul,https://www.jobs.ac.uk/job/DAJ093/economist-blue-green-finance-for-nature-based-solutions
Postdoctoral Fellow,Department of Philosophy,"Lingnan University, Hong Kong",Hong Kong,06-Jun,05-Aug,https://www.jobs.ac.uk/job/DAJ089/postdoctoral-fellow
Senior Staff Scientist in In Vivo Modelling ( ID 635),Molecular Pathology,The Institute of Cancer Research,London,06-Jun,02-Jul,https://www.jobs.ac.uk/job/DAJ084/senior-staff-scientist-in-in-vivo-modelling-id-635
"Postdoctoral Training Fellow - Cell Death & Immunity, Prof P. Meier (ID 637)",Breast Cancer,The Institute of Cancer Research,Chelsea,06-Jun,25-Jun,https://www.jobs.ac.uk/job/DAJ055/postdoctoral-training-fellow-cell-death-and-immunity-prof-p-meier-id-637
Higher Scientific Officer (612),Radiotherapy and Imaging,The Institute of Cancer Research,"Greater London, Sutton",06-Jun,30-Jun,https://www.jobs.ac.uk/job/DAJ046/higher-scientific-officer-612
Post-doctoral Research Associate: Variation among wild burying beetle populations: behavioural causes and evolutionary consequences (Fixed Term),Department of Zoology,University of Cambridge,Cambridge,06-Jun,20-Jun,https://www.jobs.ac.uk/job/DAI956/post-doctoral-research-associate-variation-among-wild-burying-beetle-populations-behavioural-causes-and-evolutionary-consequences-fixed-term
Senior Technical Officer,Inflammation Biology,King's College London,London,06-Jun,22-Jun,https://www.jobs.ac.uk/job/DAI951/senior-technical-officer
Senior Bioinformatician,,The Francis Crick Institute,London,06-Jun,30-Jun,https://www.jobs.ac.uk/job/DAI944/senior-bioinformatician
PhD Studentship: Can a Nutraceutical Formulation Targeted at the Autophagy-lysosomal System Improve Recovery/Regeneration and Exercise Adaptations in Skeletal Muscle?,,Manchester Metropolitan University,Manchester,06-Jun,03-Jul,https://www.jobs.ac.uk/job/DAI824/phd-studentship-can-a-nutraceutical-formulation-targeted-at-the-autophagy-lysosomal-system-improve-recovery-regeneration-and-exercise-adaptations-in-skeletal-muscle
Post-Graduate Laboratory Research Assistant,"Department of Paediatrics, Paediatric HIV Research Group",University of Oxford,Oxford,06-Jun,26-Jun,https://www.jobs.ac.uk/job/DAI785/post-graduate-laboratory-research-assistant
Research Associate (107543-0623),"Warwick Medical School, Biomedical Sciences",University of Warwick,Coventry,06-Jun,03-Jul,https://www.jobs.ac.uk/job/DAI392/research-associate-107543-0623
Research Fellow (107527-0623),"Warwick Medical School, Biomedical Sciences",University of Warwick,Coventry,06-Jun,03-Jul,https://www.jobs.ac.uk/job/DAI391/research-fellow-107527-0623
Clinical Bioinformatician (Senior Research Fellow),Biological Sciences,UCL,London,06-Jun,09-Jul,https://www.jobs.ac.uk/job/DAI850/clinical-bioinformatician-senior-research-fellow
Head of Department of Natural Sciences,Faculty of Science and Technology,Middlesex University,London,05-Jun,03-Jul,https://www.jobs.ac.uk/job/DAI377/head-of-department-of-natural-sciences
PhD Studentship: Structural and copy number variation analysis using adaptive long read sequencing,Life Sciences,University of Nottingham,Nottingham,05-Jun,20-Jun,https://www.jobs.ac.uk/job/DAI347/phd-studentship-structural-and-copy-number-variation-analysis-using-adaptive-long-read-sequencing
MRC Postdoctoral Fellow,MRC Mitochondrial Biology Unit,University of Cambridge,Cambridge,05-Jun,31-Jul,https://www.jobs.ac.uk/job/DAI310/mrc-postdoctoral-fellow
Postdoctoral Research Assistant in Developmental Genetics,"Radcliffe Department of Medicine, MRC Weatherall Institute of Molecular Medicine (WIMM",University of Oxford,Oxford,05-Jun,30-Jun,https://www.jobs.ac.uk/job/DAI234/postdoctoral-research-assistant-in-developmental-genetics
Bioinformatics Technician,,Newcastle University,Newcastle upon Tyne,05-Jun,22-Jun,https://www.jobs.ac.uk/job/DAI224/bioinformatics-technician
Senior Bioinformatician - Bioinformatics & Biostatistics,,The Francis Crick Institute,London,05-Jun,26-Jun,https://www.jobs.ac.uk/job/DAI178/senior-bioinformatician-bioinformatics-and-biostatistics
Laboratory Manager,Neuromuscular Diseases,UCL,London,05-Jun,29-Jun,https://www.jobs.ac.uk/job/DAI133/laboratory-manager
Lecturer in Life Sciences (Clinical Biochemistry),School of Life Sciences,University of Westminster,London,05-Jun,25-Jun,https://www.jobs.ac.uk/job/DAI124/lecturer-in-life-sciences-clinical-biochemistry
Technician (Technical Specialist) - (Fixed term),Life Sciences,University of Nottingham,Nottingham,05-Jun,30-Jun,https://www.jobs.ac.uk/job/DAH986/technician-technical-specialist-fixed-term
Lecturer/Senior Lecturer in Pathogen Microbiology,Faculty of Health and Life Sciences,University of Exeter,Exeter,05-Jun,17-Jul,https://www.jobs.ac.uk/job/DAH983/lecturer-senior-lecturer-in-pathogen-microbiology
Research Associate in Microbiology and Molecular Biology,,Imperial College London,London,05-Jun,02-Jul,https://www.jobs.ac.uk/job/DAH948/research-associate-in-microbiology-and-molecular-biology
Assistant Professor (Teaching Focussed) (Director of Student Experience) (102053 -0623),School of Life Sciences,University of Warwick,Coventry,05-Jun,02-Jul,https://www.jobs.ac.uk/job/DAH312/assistant-professor-teaching-focussed-director-of-student-experience-102053-0623
Research Fellow in Palaeobiology,Faculty of Environment - School of Earth and Environment - Earth Surface Science Institute (ESSI),University of Leeds,Leeds,02-Jun,23-Jun,https://www.jobs.ac.uk/job/DAH253/research-fellow-in-palaeobiology
Research Assistant,The Institute for Biomedical and Bioscience Science Research (IBBR) - Faculty of Medicine and Health Sciences - Buckingham Campus,University of Buckingham,Buckingham,02-Jun,25-Jun,https://www.jobs.ac.uk/job/DAH209/research-assistant
Post-Doctoral Research Associate,,Imperial College London,London,02-Jun,23-Jun,https://www.jobs.ac.uk/job/DAH176/post-doctoral-research-associate
Senior Technician,Centre of Craniofacial and Regenerative Biology,King's College London,London,02-Jun,30-Jun,https://www.jobs.ac.uk/job/DAH145/senior-technician
Research Associate in Developmental & Regenerative Biology,"Biology, Medicine & Health",The University of Manchester,Manchester,02-Jun,26-Jun,https://www.jobs.ac.uk/job/DAH086/research-associate-in-developmental-and-regenerative-biology
Scientific Officer for Assessment of Biocidal Products,,Federal Institute for Risk Assessment – BfR (Bundesinstitut für Risikobewertung),Berlin,02-Jun,30-Jun,https://www.jobs.ac.uk/job/DAH060/scientific-officer-for-assessment-of-biocidal-products
PhD Studentship: Precious metal biorecovery using microbial factory,Life Sciences,University of Nottingham,Nottingham,02-Jun,20-Jun,https://www.jobs.ac.uk/job/DAH047/phd-studentship-precious-metal-biorecovery-using-microbial-factory
PhD Studentship: Exploring the association between temperature and sweetness perception. and the role of different composition on sweetness perception,Biosciences,University of Nottingham,Nottingham,02-Jun,20-Jun,https://www.jobs.ac.uk/job/DAH039/phd-studentship-exploring-the-association-between-temperature-and-sweetness-perception-and-the-role-of-different-composition-on-sweetness-perception
PhD Studentship: Mechanisms of Action of Sodium Bicarbonate on Oral Biofilms,,University of Nottingham,Nottingham,02-Jun,20-Jun,https://www.jobs.ac.uk/job/DAH034/phd-studentship-mechanisms-of-action-of-sodium-bicarbonate-on-oral-biofilms
Lecturer in Human Biology,School of Health & Life Sciences,Teesside University,Middlesbrough,02-Jun,29-Jun,https://www.jobs.ac.uk/job/DAH030/lecturer-in-human-biology
Senior Postdoctoral Researcher in T Cell Immunology,"Weatherall Institute of Molecular Medicine, John Radcliffe Hospital",University of Oxford,Oxford,02-Jun,30-Jun,https://www.jobs.ac.uk/job/DAG967/senior-postdoctoral-researcher-in-t-cell-immunology
PhD Studentship: Regulation of Gene Expression by the Maternal Contribution of Modified RNAs During Embryonic Development,School of Biological Sciences,University of East Anglia,Norwich,02-Jun,10-Jul,https://www.jobs.ac.uk/job/DAG959/phd-studentship-regulation-of-gene-expression-by-the-maternal-contribution-of-modified-rnas-during-embryonic-development
PhD Studentship: Addressing ecosystem mapping challenges using machine learning and remote sensing,Environmental Intelligence,University of Exeter,Exeter,02-Jun,23-Jun,https://www.jobs.ac.uk/job/DAG952/phd-studentship-addressing-ecosystem-mapping-challenges-using-machine-learning-and-remote-sensing
Principal Bioinformatic Infrastructure Engineer,,Eastern AHSN,Cambridge,02-Jun,20-Jun,https://www.jobs.ac.uk/job/DAG944/principal-bioinformatic-infrastructure-engineer
PhD Studentship: Interactions Between Dietary Isothiocyanates and Anti-cancer Drug Sorafenib in Breast Cancer,"Faculty of Medicine and Health Sciences, UEA",University of East Anglia,Norwich,02-Jun,25-Jun,https://www.jobs.ac.uk/job/DAG918/phd-studentship-interactions-between-dietary-isothiocyanates-and-anti-cancer-drug-sorafenib-in-breast-cancer
Postdoctoral Research Associate,Musculoskeletal & Ageing Science,University of Liverpool,Liverpool,02-Jun,23-Jun,https://www.jobs.ac.uk/job/DAG888/postdoctoral-research-associate
PhD Studentship: Machine Learning for Predicting Yeast Phenotype from Genotype for Biotech Applications,,University of Nottingham,Nottingham,02-Jun,20-Jun,https://www.jobs.ac.uk/job/DAG882/phd-studentship-machine-learning-for-predicting-yeast-phenotype-from-genotype-for-biotech-applications
Lecturer in Computational Biology,School of Natural and Environmental Sciences (SNES),Newcastle University,Newcastle upon Tyne,02-Jun,25-Jun,https://www.jobs.ac.uk/job/DAG870/lecturer-in-computational-biology
PhD Studentship: Encapsulating and Cryoprotecting Properties of Natural Composites based on Gum Acacia,"Biosciences - BBSRC Doctoral Training Partnership, Researcher Academy",University of Nottingham,Nottingham,02-Jun,20-Jun,https://www.jobs.ac.uk/job/DAG864/phd-studentship-encapsulating-and-cryoprotecting-properties-of-natural-composites-based-on-gum-acacia
Postdoctoral Research Scientist,"Wellcome Centre for Human Genetics, Henry Wellcome Building of Molecular Physiology",University of Oxford,Oxford,02-Jun,30-Jun,https://www.jobs.ac.uk/job/DAG833/postdoctoral-research-scientist
Medical Statistician,"Department of Paediatrics, Oxford Vaccine Group, Churchill Hospital",University of Oxford,Oxford,02-Jun,07-Jul,https://www.jobs.ac.uk/job/DAG805/medical-statistician
Postdoctoral Research Fellow - UOD585,Leverhulme Research Centre for Forensic Science,University of Dundee,Dundee,02-Jun,23-Jun,https://www.jobs.ac.uk/job/DAG766/postdoctoral-research-fellow-uod585
Postdoctoral Researcher in Dynamic Magnetic Resonance Spectroscopy,"Nuffield Department of Clinical Neurosciences (NDCN), WIN, John Radcliffe Hospital",University of Oxford,Oxford,02-Jun,30-Jun,https://www.jobs.ac.uk/job/DAG728/postdoctoral-researcher-in-dynamic-magnetic-resonance-spectroscopy
Marie Sklodowska-Curie Doctoral Researcher in Structural Mass Spectrometry in DNA Repair,School of Molecular & Cellular Biology / Astbury Centre for Structural Molecular Biology,University of Leeds,Leeds,02-Jun,30-Jun,https://www.jobs.ac.uk/job/DAG718/marie-sklodowska-curie-doctoral-researcher-in-structural-mass-spectrometry-in-dna-repair
Lecturer in Advanced Cell and Gene Therapy,School of Biochemistry and Cell Biology,University College Cork,Cork,02-Jun,22-Jun,https://www.jobs.ac.uk/job/DAF981/lecturer-in-advanced-cell-and-gene-therapy
Research Associate/Fellow (Fixed term),Life Sciences,University of Nottingham,Nottingham,01-Jun,29-Jun,https://www.jobs.ac.uk/job/DAG391/research-associate-fellow-fixed-term
Postdoctoral Research Assistant,Barts Cancer Institute,Queen Mary University of London,London,01-Jun,29-Jun,https://www.jobs.ac.uk/job/DAG345/postdoctoral-research-assistant
Postdoctoral Research Fellow,Faculty of Health and Life Sciences,University of Exeter,Exeter,01-Jun,28-Jun,https://www.jobs.ac.uk/job/DAG312/postdoctoral-research-fellow
Research Associate (Fixed Term),Department of Plant Sciences,University of Cambridge,Cambridge,01-Jun,30-Jun,https://www.jobs.ac.uk/job/DAG286/research-associate-fixed-term
GMP Production Scientist (Stem Cells),Centre for Gene Therapy and Regenerative Medicine,King's College London,London,01-Jun,22-Jun,https://www.jobs.ac.uk/job/DAG270/gmp-production-scientist-stem-cells
Research Assistant,Department of Neurodegenerative Disease,UCL,London,01-Jun,21-Jun,https://www.jobs.ac.uk/job/DAG267/research-assistant
Biomedical Sciences Technician,Technical Support Services,London South Bank University,London,01-Jun,23-Jun,https://www.jobs.ac.uk/job/DAG259/biomedical-sciences-technician
Postdoctoral Scientist,,University of Dundee,Dundee,01-Jun,01-Jul,https://www.jobs.ac.uk/job/DAG243/postdoctoral-scientist
BRC Digital Content Producer,,The Royal Marsden NHS Trust,Chelsea,01-Jun,30-Jun,https://www.jobs.ac.uk/job/DAG231/brc-digital-content-producer
PhD studentship in Precision medicine and enhanced diagnostics for patients with mitochondrial disease,,Newcastle University,Newcastle upon Tyne,01-Jun,29-Jun,https://www.jobs.ac.uk/job/DAG205/phd-studentship-in-precision-medicine-and-enhanced-diagnostics-for-patients-with-mitochondrial-disease
Lecturer in Biosciences,School of Biosciences,Aston University,Birmingham,01-Jun,26-Jun,https://www.jobs.ac.uk/job/DAG192/lecturer-in-biosciences
(Senior) Laboratory Research Scientist,,The Francis Crick Institute,London,01-Jun,30-Jun,https://www.jobs.ac.uk/job/DAG178/senior-laboratory-research-scientist
"Postdoctoral Training Fellow – Cell Biologist, AZ-Crick-Imperial College: Molecular Glue Discovery Partnership",,The Francis Crick Institute,London,01-Jun,21-Jun,https://www.jobs.ac.uk/job/DAG164/postdoctoral-training-fellow-cell-biologist-az-crick-imperial-college-molecular-glue-discovery-partnership
University Teacher Science and Environment (Part-time),Division of Continuing and Professional Education,Cardiff University,Cardiff,01-Jun,22-Jun,https://www.jobs.ac.uk/job/DAG145/university-teacher-science-and-environment-part-time
Post-doctoral KTP Associate in Quantitative Systems Toxicology,Research Services,University of Reading,Reading,01-Jun,02-Jul,https://www.jobs.ac.uk/job/DAG134/post-doctoral-ktp-associate-in-quantitative-systems-toxicology
"Postdoctoral Training Fellow –Structural Biochemist, Visual Biochemistry lab, AZ-Crick-Imperial College: Molecular Glue Discovery Partnership",,The Francis Crick Institute,London,01-Jun,21-Jun,https://www.jobs.ac.uk/job/DAG124/postdoctoral-training-fellow-structural-biochemist-visual-biochemistry-lab-az-crick-imperial-college-molecular-glue-discovery-partnership
Data Engineer / Bioinformatician- AZ-Crick-Imperial College: Molecular Glue Discovery Partnership,,The Francis Crick Institute,London,01-Jun,21-Jun,https://www.jobs.ac.uk/job/DAG114/data-engineer-bioinformatician-az-crick-imperial-college-molecular-glue-discovery-partnership
"Postdoctoral Training Fellow – Biochemist, Autophagy, AZ-Crick-Imperial College: Molecular Glue Discovery Partnership",,The Francis Crick Institute,London,01-Jun,21-Jun,https://www.jobs.ac.uk/job/DAG109/postdoctoral-training-fellow-biochemist-autophagy-az-crick-imperial-college-molecular-glue-discovery-partnership
"Postdoctoral Training Fellow – Cell Biologist (Autophagy): AZ-Crick-Imperial College, Molecular Glue Discovery Partnership",,The Francis Crick Institute,London,01-Jun,21-Jun,https://www.jobs.ac.uk/job/DAG103/postdoctoral-training-fellow-cell-biologist-autophagy-az-crick-imperial-college-molecular-glue-discovery-partnership
Associate Professor,Respiratory Sciences,University of Leicester,Leicester,01-Jun,26-Jul,https://www.jobs.ac.uk/job/DAG101/associate-professor
Senior Lecturer in Cancer Biomedicine,Hull York Medical School,University of Hull,Kingston upon Hull,01-Jun,28-Jul,https://www.jobs.ac.uk/job/DAG100/senior-lecturer-in-cancer-biomedicine
Biology Tutor,University of Surrey International Study Centre,Study Group,"Guildford, Surrey",01-Jun,01-Jul,https://www.jobs.ac.uk/job/DAG088/biology-tutor
PhD Studentship: A Platform to Investigate Multi-tissue Crosstalk Mediated by Exercise Induced Soluble Factors Released from Human Skeletal Muscle,"Sport, Exercise and Health Sciences",Loughborough University,Loughborough,01-Jun,30-Jun,https://www.jobs.ac.uk/job/DAG082/phd-studentship-a-platform-to-investigate-multi-tissue-crosstalk-mediated-by-exercise-induced-soluble-factors-released-from-human-skeletal-muscle
Reader / Senior Lecturer in Biosciences,,Aston University,Birmingham,01-Jun,26-Jun,https://www.jobs.ac.uk/job/DAG062/reader-senior-lecturer-in-biosciences
Lecturer / Senior Lecturer or Lecturer (Teaching) / Senior Lecturer (Teaching) PGCE Secondary Science Subject Tutor,,University of Worcester,Worcester,01-Jun,20-Jun,https://www.jobs.ac.uk/job/DAG048/lecturer-senior-lecturer-or-lecturer-teaching-senior-lecturer-teaching-pgce-secondary-science-subject-tutor
Research Assistant,,University of Oxford,Oxford,01-Jun,30-Jun,https://www.jobs.ac.uk/job/DAG024/research-assistant
Teacher of Biology,,The Perse School,Cambridge,01-Jun,20-Jun,https://www.jobs.ac.uk/job/DAF935/teacher-of-biology
EPSRC PhD Studentship in: Microbiological Research for Diffuse Pollution Management and its Integration within Sustainable Urban Drainage Systems (SuDs),Sheffield Water Centre,University of Sheffield,Sheffield,01-Jun,30-Jun,https://www.jobs.ac.uk/job/DAF895/epsrc-phd-studentship-in-microbiological-research-for-diffuse-pollution-management-and-its-integration-within-sustainable-urban-drainage-systems-suds
Postdoctoral Research Associate x 2: Drosophila Connectomics Research Group (Fixed Term),Department of Zoology,University of Cambridge,Cambridge,01-Jun,06-Jul,https://www.jobs.ac.uk/job/DAF856/postdoctoral-research-associate-x-2-drosophila-connectomics-research-group-fixed-term
"Senior Programme Manager, Global Health",Global Health,National Institute for Health and Care Research,"London, Twickenham",01-Jun,01-Jul,https://www.jobs.ac.uk/job/DAF854/senior-programme-manager-global-health
Research Assistant x 2 - Drosophila Connectomics Research Group (Fixed Term),Department of Zoology,University of Cambridge,Cambridge,01-Jun,06-Jul,https://www.jobs.ac.uk/job/DAF843/research-assistant-x-2-drosophila-connectomics-research-group-fixed-term
Research Associate in A New Way of Printing Robots through Self-assembly,Department of Automatic Control and Systems Engineering (ACSE),University of Sheffield,Sheffield,01-Jun,28-Jun,https://www.jobs.ac.uk/job/DAF828/research-associate-in-a-new-way-of-printing-robots-through-self-assembly
Research Assistant (Peptide Chemistry and Chemical Biology),Life Sciences,University of Bath,Bath,01-Jun,20-Jun,https://www.jobs.ac.uk/job/DAF822/research-assistant-peptide-chemistry-and-chemical-biology
Biologicals Product & Business Development Manager,,Bionema Limited,Swansea,01-Jun,30-Jun,https://www.jobs.ac.uk/job/DAE936/biologicals-product-and-business-development-manager
Research Assistant / Associate,,Newcastle University,Newcastle upon Tyne,31-May,02-Jul,https://www.jobs.ac.uk/job/DAF441/research-assistant-associate
Senior Research Officer,School of Life Sciences,University of Essex,Colchester,31-May,30-Jun,https://www.jobs.ac.uk/job/DAF437/senior-research-officer
Oxford Cancer Lead Biomedical Research Scientist (Translational Support Lab),"Department of Oncology, Cancer Centre, New Richards Building, Headington, Oxford, OX3 7LA",University of Oxford,Oxford,31-May,26-Jun,https://www.jobs.ac.uk/job/DAF412/oxford-cancer-lead-biomedical-research-scientist-translational-support-lab
Postdoctoral Research Associate - Grade 7,"Faculty of Health and Life Sciences - Institute of Systems, Molecular & Integrative Biology - Department of Molecular & Clinical Cancer Medicine",University of Liverpool,Liverpool,31-May,28-Jun,https://www.jobs.ac.uk/job/DAF321/postdoctoral-research-associate-grade-7
Postdoctoral Research Associate (Grade 7),Women's & Children's Health,University of Liverpool,Liverpool,31-May,21-Jun,https://www.jobs.ac.uk/job/DAF293/postdoctoral-research-associate-grade-7
Lecturer in Cancer Biology (Grade 8),Molecular & Clinical Cancer Medicine,University of Liverpool,Liverpool,31-May,27-Jun,https://www.jobs.ac.uk/job/DAF278/lecturer-in-cancer-biology-grade-8
Research Assistant,"Department of Physiology, Anatomy and Genetics, Laboratory of Molecular Neurodegeneration, Kavli Institute for Nanoscience Discovery",University of Oxford,Oxford,31-May,27-Jun,https://www.jobs.ac.uk/job/DAF268/research-assistant
Business Development and Stakeholder Engagement Officer (10289),,Rosalind Franklin Institute,"Didcot, Harwell",31-May,02-Jul,https://www.jobs.ac.uk/job/DAF261/business-development-and-stakeholder-engagement-officer-10289
Marie Skłodowska-Curie Actions (MSCA) - Post Doctoral Fellowships 2023,Faculty of Science and Engineering,Swansea University,Swansea,31-May,26-Jun,https://www.jobs.ac.uk/job/DAF252/marie-skodowska-curie-actions-msca-post-doctoral-fellowships-2023
Senior Lecturer / Lecturer in Biomedical Science,Biology,Bath Spa University,Bath,31-May,25-Jun,https://www.jobs.ac.uk/job/DAF243/senior-lecturer-lecturer-in-biomedical-science
Research Assistant NeutroCure,"Medicine, Health and Life Science - Faculty of Medicine, Health and Life Science",Swansea University,Swansea,31-May,20-Jun,https://www.jobs.ac.uk/job/DAF228/research-assistant-neutrocure
